Kategorie,2000,'01,'02,'03,'04,'05,'06,'07,'08,'09,'10,'11,'12,'13,'14,'15,'16,'17,'18,'19,'20,'21,'22,2023,X.1,X.2
Frauen in Vollzeit,402607,402468,396962,381381,370328,360434,361083,364339,374501,381463,382827,366702,372090,376956,380252,387655,396022,404891,412180,419379,422318,432626,447035,449421,,
Männer in Vollzeit,513740,503128,485787,461116,447935,431192,435429,443454,457854,462164,466584,473668,484653,488623,494473,509843,529899,553418,573886,595099,601749,615589,644149,654403,,
Frauen in Teilzeit,154775,156342,158915,157360,156961,158533,164147,171226,178684,185175,192227,224830,242307,252156,264419,280423,295891,310644,323926,337001,338852,348003,363953,371110,,
Männer in Teilzeit,46756,49948,52040,50373,51976,52696,56579,60844,64460,69028,74140,84003,98272,108060,120104,133246,145838,157509,166255,176433,176366,186321,198774,205155,,
